epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,82573.2,0.75006,0.64937,0.83346,0.92602,0.87187,0.93712,0.70507,0.72477,0.6216,0.84505,3.91816e-05,3.91816e-05,3.91816e-05
41,84954.2,0.7494,0.71845,0.83366,0.91702,0.8648,0.92469,0.6932,0.75169,0.63172,0.85585,3.5776e-05,3.5776e-05,3.5776e-05
42,87768.8,0.73846,0.68396,0.82884,0.93195,0.86142,0.92795,0.69726,0.74265,0.62206,0.85083,3.23704e-05,3.23704e-05,3.23704e-05
43,89769.5,0.72801,0.66953,0.82889,0.92503,0.87504,0.93197,0.69908,0.73408,0.60316,0.8468,2.89648e-05,2.89648e-05,2.89648e-05
44,91735.6,0.72484,0.66043,0.82497,0.92073,0.87358,0.93263,0.70259,0.72573,0.60113,0.84399,2.55592e-05,2.55592e-05,2.55592e-05
45,93705.2,0.72298,0.65857,0.82504,0.93067,0.87047,0.93084,0.70269,0.73002,0.59298,0.8443,2.21536e-05,2.21536e-05,2.21536e-05
46,95672.4,0.71818,0.65174,0.82542,0.94437,0.86972,0.93298,0.70103,0.72592,0.58935,0.84464,1.8748e-05,1.8748e-05,1.8748e-05
47,97806.3,0.70902,0.6473,0.82276,0.94699,0.86782,0.93016,0.70207,0.71851,0.58324,0.84076,1.53424e-05,1.53424e-05,1.53424e-05
48,100454,0.70423,0.63739,0.82357,0.94731,0.86202,0.93097,0.70152,0.72115,0.58028,0.84322,1.19368e-05,1.19368e-05,1.19368e-05
49,102639,0.71156,0.63916,0.82655,0.9522,0.85888,0.93801,0.70576,0.7202,0.57848,0.84277,8.5312e-06,8.5312e-06,8.5312e-06
50,104632,0.71518,0.64231,0.82391,0.94694,0.86383,0.94348,0.7078,0.71979,0.57692,0.84217,5.1256e-06,5.1256e-06,5.1256e-06
