epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2954.43,1.32726,5.34653,0.96845,0.60281,0.08602,0.05122,0.03786,1.12516,4.26232,0.90777,5.69772e-05,5.69772e-05,5.69772e-05
2,5023.35,1.20804,3.69056,0.90528,0.61525,0.16276,0.17716,0.12818,1.04507,3.01397,0.90373,0.000112047,0.000112047,0.000112047
3,7049.8,1.11949,2.84418,0.89343,0.71356,0.25017,0.28691,0.20367,0.96875,2.59114,0.894,0.000164847,0.000164847,0.000164847
